Description	
Number of Runs	41
Preset Time	30
Pause Time	0
Alarm Level	0
High Voltage	300
Step Voltage	20
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	300	0	30	02/17/26 08:12:21 AM	
2	320	0	30	02/17/26 08:12:51 AM	
3	340	0	30	02/17/26 08:13:21 AM	
4	360	0	30	02/17/26 08:13:52 AM	
5	380	157	30	02/17/26 08:14:22 AM	
6	400	7590	30	02/17/26 08:14:52 AM	
7	420	7573	30	02/17/26 08:15:23 AM	
8	440	7555	30	02/17/26 08:15:53 AM	
9	460	7850	30	02/17/26 08:16:24 AM	
10	480	7560	30	02/17/26 08:16:54 AM	
11	500	7671	30	02/17/26 08:17:24 AM	
12	520	7559	30	02/17/26 08:17:55 AM	
13	540	7646	30	02/17/26 08:18:25 AM	
14	560	7810	30	02/17/26 08:18:55 AM	
15	580	7683	30	02/17/26 08:19:26 AM	
16	600	7586	30	02/17/26 08:19:56 AM	
17	620	7596	30	02/17/26 08:20:27 AM	
18	640	7568	30	02/17/26 08:20:57 AM	
19	660	7682	30	02/17/26 08:21:27 AM	
20	680	7656	30	02/17/26 08:21:58 AM	
21	700	7767	30	02/17/26 08:22:28 AM	
22	720	7812	30	02/17/26 08:22:59 AM	
23	740	7574	30	02/17/26 08:23:29 AM	
24	760	7540	30	02/17/26 08:23:59 AM	
25	780	7656	30	02/17/26 08:24:30 AM	
26	800	7652	30	02/17/26 08:25:00 AM	
27	820	7567	30	02/17/26 08:25:31 AM	
28	840	7598	30	02/17/26 08:26:01 AM	
29	860	7665	30	02/17/26 08:26:31 AM	
30	880	7768	30	02/17/26 08:27:02 AM	
31	900	7651	30	02/17/26 08:27:32 AM	
32	920	7660	30	02/17/26 08:28:02 AM	
33	940	7651	30	02/17/26 08:28:33 AM	
34	960	7998	30	02/17/26 08:29:03 AM	
35	980	7891	30	02/17/26 08:29:34 AM	
36	1000	7778	30	02/17/26 08:30:04 AM	
37	1020	8146	30	02/17/26 08:30:34 AM	
38	1040	8279	30	02/17/26 08:31:05 AM	
39	1060	8729	30	02/17/26 08:31:35 AM	
40	1080	9492	30	02/17/26 08:32:05 AM	
41	1100	10719	30	02/17/26 08:32:36 AM	
